Sofia Taro, https://www.youtube.com/channel/UCKgt1xmHfCXT366X0krqeGg
Somewhere In Time, https://lostsomewhereintime.bandcamp.com
Stemage, http://www.stemagemusic.com
Temp Sound Solutions, https://tempsoundsolutions.bandcamp.com/
The Blast Processors, https://blastprocessors.bandcamp.com/
The Nate Horsfall Experience, https://soundcloud.com/thenatehorsfallexperience
The SamAreAye, http://dwellingofduels.net/searchresult.php?search=SamAreAye
TheBigSpoon, https://soundcloud.com/thebigspoon
ThePlasmas, https://theplasmasvgm.bandcamp.com
Tony Barhoum, https://www.facebook.com/ConditionCriticalNJ
Travis Morgan, http://travismorgan.net/
Trev Wignall, https://trevwignall.bandcamp.com/
Tuberz McGee, https://soundcloud.com/tuberz-mcgee
VankiP, http://www.youtube.com/user/kicel1252009
Vegeroth, https://soundcloud.com/gematriel
Verkommenheit, http://www.jasonvincion.com/
Vic Viper, http://www.youtube.com/channel/UCBE2MiYLdlB1tENrepQr8jQ
VikingGuitar, https://vikingguitar.bandcamp.com/
WASD, http://wasdband.bandcamp.com/
Wake, https://soundcloud.com/jnwake
Wild_Cat, https://thetiberiansons.bandcamp.com
Will Attewell, https://soundcloud.com/will-attewell
William Reyes, http://www.williamreyesguitar.com
XPRTNovice, https://soundcloud.com/xprtnovice
Xenon Odyssey, http://xenonodyssey.googlepages.com/
YamaYama, http://www.yamayamatheband.com/
Zio Oxview, http://www.ziooxview.com/
adamzap, https://soundcloud.com/adamzap
ansgaros, http://ansgaros.net
boobini, https://soundcloud.com/boobini
bustatunez, http://ocremix.org/artist/4749/bustatunez
cacomistle, http://cacomistle.bandcamp.com
cetera, http://cetera.bandcamp.com/
clansmaneddie, http://lostsomewhereintime.bandcamp.com
cookiegamemusic, http://cookiegamemusic.bandcamp.com/
creepue, http://soundcloud.com/creepue
darmok, https://www.facebook.com/steelsamuraiband
dasaten, http://olremix.org/remixers/dasaten
finbeard, http://lonelyrollingstars.bandcamp.com/
goat, http://castlegoat.blogspot.ru
jmr, http://j-m-r.flavors.me/
juef, http://bestnestracks.captaintortilla.com/results/
jvincion, http://www.jasonvincion.com/
kareshi, http://danielbrown.vgpiano.com/index.htm
norg, https://lonelyrollingstars.bandcamp.com/
pingosimon, http://kirbysdreamband.bandcamp.com/
streifig, https://soundcloud.com/streifig
tackle, https://soundcloud.com/tacklemcclean
tibone, http://tibone.bandcamp.com/
vertexguy, http://www.vertexguy.com/
virt, http://virt.rocks/
xoc, https://trashcaneagle.bandcamp.com/
zykO, http://ocremix.org/artist/4558/zyko
